 Sample   Time     Commanded Pos   Encoder 1 Pos   Encoder 2 Pos   Encoder 3 Pos 

[    0    0.000            2000               0               0               0;
     1    0.011            2000              17               0               0;
     2    0.021            2000              78               0               0;
     3    0.032            2000             177               0               0;
     4    0.043            2000             315               0               0;
     5    0.053            2000             489               0               0;
     6    0.064            2000             701               0               0;
     7    0.074            2000             942               1               0;
     8    0.085            2000            1208               1               0;
     9    0.096            2000            1498               1               0;
    10    0.106            2000            1804               1               0;
    11    0.117            2000            2118               2               0;
    12    0.128            2000            2433               2               0;
    13    0.138            2000            2739               2               0;
    14    0.149            2000            3031               2               0;
    15    0.159            2000            3302               2               0;
    16    0.170            2000            3549               3               0;
    17    0.181            2000            3770               3               0;
    18    0.191            2000            3960               3               0;
    19    0.202            2000            4114               3               0;
    20    0.213            2000            4227               3               0;
    21    0.223            2000            4297               3               0;
    22    0.234            2000            4324               3               0;
    23    0.244            2000            4313               3               0;
    24    0.255            2000            4274               3               0;
    25    0.266            2000            4212               3               0;
    26    0.276            2000            4127               3               0;
    27    0.287            2000            4021               3               0;
    28    0.298            2000            3900               3               0;
    29    0.308            2000            3762               3               0;
    30    0.319            2000            3613               3               0;
    31    0.329            2000            3452               3               0;
    32    0.340            2000            3282               3               0;
    33    0.351            2000            3104               3               0;
    34    0.361            2000            2920               3               0;
    35    0.372            2000            2732               3               0;
    36    0.383            2000            2544               3               0;
    37    0.393            2000            2357               3               0;
    38    0.404            2000            2171               2               0;
    39    0.414            2000            1991               2               0;
    40    0.425            2000            1828               2               0;
    41    0.436            2000            1690               2               0;
    42    0.446            2000            1576               2               0;
    43    0.457            2000            1491               2               0;
    44    0.468            2000            1438               2               0;
    45    0.478            2000            1414               2               0;
    46    0.489            2000            1414               2               0;
    47    0.499            2000            1443               2               0;
    48    0.510            2000            1492               2               0;
    49    0.521            2000            1561               2               0;
    50    0.531            2000            1647               2               0;
    51    0.542            2000            1749               2               0;
    52    0.553            2000            1864               2               0;
    53    0.563            2000            1988               2               0;
    54    0.574            2000            2117               2               0;
    55    0.584            2000            2247               2               0;
    56    0.595            2000            2376               2               0;
    57    0.606            2000            2501               2               0;
    58    0.616            2000            2616               2               0;
    59    0.627            2000            2719               2               0;
    60    0.638            2000            2807               2               0;
    61    0.648            2000            2879               2               0;
    62    0.659            2000            2935               2               0;
    63    0.669            2000            2973               2               0;
    64    0.680            2000            2992               2               0;
    65    0.691            2000            2995               2               0;
    66    0.701            2000            2985               2               0;
    67    0.712            2000            2964               2               0;
    68    0.723            2000            2934               2               0;
    69    0.733            2000            2899               2               0;
    70    0.744            2000            2860               2               0;
    71    0.754            2000            2817               2               0;
    72    0.765            2000            2771               2               0;
    73    0.776            2000            2722               2               0;
    74    0.786            2000            2670               2               0;
    75    0.797            2000            2615               2               0;
    76    0.808            2000            2559               2               0;
    77    0.818            2000            2501               2               0;
    78    0.829            2000            2443               2               0;
    79    0.839            2000            2385               2               0;
    80    0.850            2000            2327               2               0;
    81    0.861            2000            2271               2               0;
    82    0.871            2000            2216               2               0;
    83    0.882            2000            2163               2               0;
    84    0.893            2000            2112               2               0;
    85    0.903            2000            2065               2               0;
    86    0.914            2000            2032               2               0;
    87    0.924            2000            2017               2               0;
    88    0.935            2000            2016               2               0;
    89    0.946            2000            2024               2               0;
    90    0.956            2000            2045               2               0;
    91    0.967            2000            2074               2               0;
    92    0.978            2000            2107               2               0;
    93    0.988            2000            2144               2               0;
    94    0.999            2000            2183               2               0;
    95    1.009            2000            2223               2               0;
    96    1.020            2000            2262               2               0;
    97    1.031            2000            2300               2               0;
    98    1.041            2000            2336               2               0;
    99    1.052            2000            2369               2               0;
   100    1.063            2000            2399               2               0;
   101    1.073            2000            2425               2               0;
   102    1.084            2000            2446               2               0;
   103    1.094            2000            2462               2               0;
   104    1.105            2000            2471               2               0;
   105    1.116            2000            2475               2               0;
   106    1.126            2000            2474               2               0;
   107    1.137            2000            2473               2               0;
   108    1.148            2000            2470               2               0;
   109    1.158            2000            2469               2               0;
   110    1.169            2000            2468               2               0;
   111    1.179            2000            2469               2               0;
   112    1.190            2000            2469               2               0;
   113    1.201            2000            2469               2               0;
   114    1.211            2000            2469               2               0;
   115    1.222            2000            2469               2               0;
   116    1.233            2000            2469               2               0;
   117    1.243            2000            2469               2               0;
   118    1.254            2000            2469               2               0;
   119    1.264            2000            2469               2               0;
   120    1.275            2000            2469               2               0;
   121    1.286            2000            2469               2               0;
   122    1.296            2000            2469               2               0;
   123    1.307            2000            2469               2               0;
   124    1.318            2000            2469               2               0;
   125    1.328            2000            2469               2               0;
   126    1.339            2000            2469               2               0;
   127    1.349            2000            2469               2               0;
   128    1.360            2000            2469               2               0;
   129    1.371            2000            2469               2               0;
   130    1.381            2000            2469               2               0;
   131    1.392            2000            2469               2               0;
   132    1.403            2000            2469               2               0;
   133    1.413            2000            2469               2               0;
   134    1.424            2000            2469               2               0;
   135    1.434            2000            2469               2               0;
   136    1.445            2000            2469               2               0;
